ID;NOMBRE DEL CASO;INSTRUMENTO NORMATIVO;TIPO DE COMPROMISO;DESCRIPCIÓN DEL COMPROMISO;UNIDAD TERRITORIAL;REGIÓN;PROVINCIA;DISTRITO(S);ESTADO ACTUAL DEL COMPROMISO;RESPONSABLE;NIVEL DE GOBIERNO RESPONSABLE FINAL;LONGITUD;LATITUD
13;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;MARSELLAMEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA CC.NN MARSELLA DISTRITO DE EL TIGRE, PROVINCIA DE LORETO, REGIÓN DE LORETO;UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7817;3.48972
14;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;SOPLINMEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA COMUNIDAD NATIVA SOPLIN, DISTRITO DE ANDOAS, PROVINCIA DEL DATEM DEL MARAÑÓN, REGIÓN LORETO;UT AMAZONÍA;LORETO;DATEM DEL MARAÑÓN;ANDOAS;ABIERTO - EN PROCESO;MD URARINAS;GOBIERNO NACIONAL;-76.4336;-3.4755
15;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;"COMUNIDAD SAN MIGUEL	CREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA SAN MIGUEL DEL DISTRITO DE PARINARI - PROVINCIA DE LORETO - DEPARTAMENTO DE LORETO";UT AMAZONÍA;LORETO;LORETO;PARINARI;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.4631;-4.63167
16;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;NUEVO LIMACREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA DE NUEVO LIMA DEL DISTRITO DE URARINAS - PROVINCIA DE LORETO - DEPARTAMENTO DE LORETO;UT AMAZONÍA;LORETO;LORETO;URARINAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7672;-4.5875
17;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;SAN GABRIELCREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA DE SAN GABRIEL DEL DISTRITO DE URARINAS - PROVINCIA DE LORETO - DEPARTAMENTO DE LORETO;UT AMAZONÍA;LORETO;LORETO;URARINAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7672;-4.5875
18;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;SOLTERITOSCREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA DE SOLTERITOS DEL DISTRITO DE NAUTA - PROVINCIA DE LORETO - DEPARTAMENTO DE LORETO;UT AMAZONÍA;LORETO;LORETO;NAUTA;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-73.5694;-4.50139
19;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;SIWIN CREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA DE SIWIN DEL DISTRITO DE ANDOAS - PROVINCIA DE DATEM DEL MARAÑON - DEPARTAMENTO DE LORETO;UT AMAZONÍA;LORETO;DATEM DEL MARAÑÓN;ANDOAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.4336;-3.4755
20;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;12 DE OCTUBREAMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO DE LA LOCALIDAD DE 12 DE OCTUBRE , DISTRITO DE TIGRE - LORETO - LORETO;UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7817;3.48972
21;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;BOLÍVARCREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA DE BOLIVAR DEL DISTRITO DE PARINARI - PROVINCIA DE LORETO - DEPARTAMENTO DE LORETO;UT AMAZONÍA;LORETO;LORETO;PARINARI;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.4631;-4.63167
22;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;NUEVA ARICACREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA DE NUEVA ARICA DEL DISTRITO DE PARINARI - PROVINCIA DE LORETO - DEPARTAMENTO DE LORETO;UT AMAZONÍA;LORETO;LORETO;PARINARI;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.4631;-4.63167
23;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;HUAGRAMONA CREACION DEL SISTEMA DE AGUA POTABLE Y DESAGUE DE LA COMUNIDAD NATIVA HUAGRAMONA DEL DISTRITO DE ANDOAS - PROVINCIA DE DATEM DEL MARAÑON - DEPARTAMENTO DE LORETO;UT AMAZONÍA;LORETO;DATEM DEL MARAÑÓN;ANDOAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.4336;-3.4755
24;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;EL SALVADORCREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA EL SALVADOR DEL DISTRITO DE TIGRE - PROVINCIA DE LORETO - DEPARTAMENTO DE LORETO;UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7817;3.48972
25;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;"NUEVO CANAAN 	CREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA NUEVO CANAAN DEL DISTRITO DE TIGRE - PROVINCIA DE LORETO - DEPARTAMENTO DE LORETO";UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7817;3.48972
26;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;VISTA ALEGRE CREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA VISTA ALEGRE DEL DISTRITO DE TIGRE - PROVINCIA DE LORETO - DEPARTAMENTO DE LORETO;UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7817;3.48972
27;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;ANDRÉS AVELINO CÁCERES CREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA ANDRES AVELINO CACERES DEL DISTRITO DE TIGRE - PROVINCIA DE LORETO - DEPARTAMENTO DE LORETO;UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7817;3.48972
28;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;TENIENTE RUIZCREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA DE TENIENTE RUIZ DEL DISTRITO DE TIGRE - PROVINCIA DE LORETO - DEPARTAMENTO DE LORETO;UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7817;3.48972
29;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;NUEVO REMANENTE CREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA COMUNIDAD NATIVA NUEVO REMANENTE DEL DISTRITO DE TIGRE - PROVINCIA DE LORETO - DEPARTAMENTO DE LORETO;UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7817;3.48972
30;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;TRUENO COCHA;UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7817;3.48972
31;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;CAMPO VERDE;UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7817;3.48972
32;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;NUEVA UNIÓN;UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7817;3.48972
33;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;DOS DE MAYO;UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-74.7817;3.48972
34;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;LEONCIO PRADO;UT AMAZONÍA;LORETO;DATEM DEL MARAÑÓN;PASTAZA;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.5875;-4.65111
35;MESA TÉCNICA DE LA PROVINCIA DE ALTO AMAZONAS RSGSD 0016-2022-PCM/SGSD;RSGSD 0016-2022-PCM/SGSD;PIP;CREACIÓN DEL SERVICIO DE AGUA DEL SISTEMA DE RIEGO, EN LA MARGEN DERECHA DEL RIO SHANUSI, SECTOR INDEPENDENCIA, NUEVO JAÉN, SUNIPLAYA,TUPAC AMARU Y LA FLORIDA, DISTRITO DE YURIMAGUAS, PROVINCIA DE ALTO AMAZONAS, REGIÓN LORETO;UT AMAZONÍA;LORETO;ALTO AMAZONAS;YURIMAGUAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.1281;-5.88417
36;MESA TÉCNICA DE LA PROVINCIA DE ALTO AMAZONAS RSGSD 0016-2022-PCM/SGSD;RSGSD 0016-2022-PCM/SGSD;PIP;ELABORACIÓN DE LOS PERFILES DE LOS CANALES DE RIEGO DEL MARGEN DERECHO DEL RIO SHANUSI. II;UT AMAZONÍA;LORETO;ALTO AMAZONAS;YURIMAGUAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.1281;-5.88417
37;MESA TÉCNICA DE LA PROVINCIA DE ALTO AMAZONAS RSGSD 0016-2022-PCM/SGSD;RSGSD 0016-2022-PCM/SGSD;PIP;MIDAGRI REALIZARÁ SEGUIMIENTO A LA ASIGNACIÓN PRESUPUESTAL DE LOS PROYECTOS DE  LIMÓN TAHITÍ;UT AMAZONÍA;LORETO;ALTO AMAZONAS;YURIMAGUAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.1281;-5.88417
38;MESA TÉCNICA DE LA PROVINCIA DE ALTO AMAZONAS RSGSD 0016-2022-PCM/SGSD;RSGSD 0016-2022-PCM/SGSD;PIP;MIDAGRI REALIZARÁ SEGUIMIENTO A LA ASIGNACIÓN PRESUPUESTAL DE LOS PROYECTOS DE CAMU CAMU;UT AMAZONÍA;LORETO;ALTO AMAZONAS;SANTA CRUZ/LAGUNAS/TENIENTE CÉSAR LOPEZ ROJAS/YURIMAGUAS;ABIERTO - EN PROCESO;MVCS;GOBIERNO NACIONAL;-76.1304;-5.8846
45;MESA TÉCNICA DE LA PROVINCIA DE ALTO AMAZONAS RSGSD 0016-2022-PCM/SGSD;RSGSD 0016-2022-PCM/SGSD;PIP;MTC INDICO QUE EN RELACIÓN AL MEJORAMIENTO DE LA INFRAESTRUCTURA DEL AEROPUERTO, EL ESTUDIO SE ESTARÁ APROBANDO MÁXIMO EN EL PRIMER TRIMESTRE DEL AÑO 2023 Y SE CONTINUARÁ POSTERIORMENTE CON LA LIBERACIÓN DE LAS ÁREAS QUE REQUIERA PARA ESTA INTERVENCIÓN SEA CONVOCADA SU EJECUCIÓN;UT AMAZONÍA;LORETO;ALTO AMAZONAS;YURIMAGUAS;ABIERTO - EN PROCESO;MINSA;GOBIERNO NACIONAL;-76.1281;-5.88417
46;MESA TÉCNICA DE LA PROVINCIA DE ALTO AMAZONAS RSGSD 0016-2022-PCM/SGSD;RSGSD 0016-2022-PCM/SGSD;PIP;RECUPERACIÓN DE SUELOS DEGRADADOS BAJO SISTEMAS FORESTALES EN LO CASERIOS BELEN, 30 DE AGOSTO, SAN FRANCISCO, MARIANO MELGAR, SANTO TOMAS, SAN JUAN DE LA LIBERTAD Y SAN JUAN DE PAMPLONA, DEL EJE CARRETERO YURIMAGUAS - TARAPOTO DEL DISTRITO DE YURIMAGUAS - PROVINCIA DE ALTO AMAZONAS - REGIÓN LORETO.;UT AMAZONÍA;LORETO;ALTO AMAZONAS;YURIMAGUAS;ABIERTO - EN PROCESO;MIDIS;GOBIERNO NACIONAL;-76.1281;-5.88417
47;MESA DE TRABAJO ENCARGADA DE REALIZAR ACCIONES DE COORDINACIÓN PARE EL DESARROLLO DE LAS CUENCAS DEL PASTAZA, TIGRE, CORRIENTES Y MARAÑÓN DEL DEPARTAMENTO DE LORETO;RM N° 033-2021-PCM;PIP;SAN MARTIN DE TIPISHCA;UT AMAZONÍA;LORETO;LORETO;TIGRE;ABIERTO - EN PROCESO;MINEM;GOBIERNO NACIONAL;-74.7817;3.48972
